id,time_days,timestamp_ms,latitude,longitude,magnitude,parent_id,generation,time_utc,parent_idx,parent_eta,forman_curvature,degree
sim_67,0.04101252314814815,1782342216871,10.535484100839744,-68.29986198396504,2.6,us6000t7zp,1,2026-06-24 23:03:36,1.0,6.12214001835643e-05,-259.0,1
sim_323,0.042053877314814817,1782342306844,11.717926405937288,-69.31968800926705,2.9,us6000t7zc,1,2026-06-24 23:05:06,1.0,0.003804450828056649,-259.0,1
sim_296,0.04275060185185185,1782342367041,10.404600226350231,-68.54260197940155,2.5,us6000t7zc,1,2026-06-24 23:06:07,0.0,4.004652606961258e-06,-33.0,1
sim_270,0.04443765046296296,1782342512802,10.421038168283395,-68.5920035114263,2.7,us6000t7zc,1,2026-06-24 23:08:32,0.0,1.4641144752774821e-05,-33.0,1
sim_46,0.04479944444444445,1782342544061,10.70043523481976,-68.44993844468172,2.5,us6000t7zp,1,2026-06-24 23:09:04,1.0,0.0001228897952141256,-259.0,1
sim_36,0.04585107638888889,1782342634922,10.622534138305042,-68.37353381738833,2.3,us6000t7zp,1,2026-06-24 23:10:34,1.0,7.887963885562705e-05,-259.0,1
sim_300,0.04708969907407407,1782342741939,10.448194432864144,-68.465125110179,3.0,us6000t7zc,1,2026-06-24 23:12:21,1.0,3.866878521501349e-07,-259.0,1
sim_260,0.04892857638888889,1782342900818,10.438686924007117,-68.50347474480182,2.2,us6000t7zc,1,2026-06-24 23:15:00,1.0,1.887315389405777e-06,-259.0,1
sim_139,0.052834131944444446,1782343238258,10.459049999578388,-68.44840648856581,2.4,us6000t7zp,1,2026-06-24 23:20:38,1.0,2.2407665223195327e-06,-259.0,1
sim_40,0.053776469907407407,1782343319676,10.412730139134224,-68.44141750304945,2.3,us6000t7zp,1,2026-06-24 23:21:59,1.0,2.881062260265659e-06,-259.0,1
sim_166,0.054087800925925925,1782343346575,10.408169325178944,-68.50443972782578,2.3,us6000t7zp,1,2026-06-24 23:22:26,1.0,3.7093034347210196e-06,-259.0,1
sim_152,0.05412185185185185,1782343349517,10.487179801477662,-68.5260979110414,2.3,us6000t7zp,1,2026-06-24 23:22:29,0.0,1.1070089228023811e-05,-33.0,1
sim_215,0.05451649305555555,1782343383614,10.217197214632034,-68.29817647614571,2.0,us6000t7zp,1,2026-06-24 23:23:03,1.0,0.00016193506506158398,-259.0,1
sim_49,0.054979791666666666,1782343423643,11.368560886694535,-69.66550597394911,2.1,us6000t7zp,1,2026-06-24 23:23:43,1.0,0.0047888142408499465,-259.0,1
sim_127,0.056924085648148146,1782343591630,10.523338654599632,-68.38644865843857,2.8,us6000t7zp,1,2026-06-24 23:26:31,1.0,3.267789550828249e-05,-259.0,1
sim_75,0.05715,1782343611149,10.340188117682832,-68.46683843307646,2.2,us6000t7zp,1,2026-06-24 23:26:51,1.0,2.002224312530216e-05,-259.0,1
sim_358,0.05843106481481482,1782343721833,9.780557464278775,-67.20389738056998,2.2,sim_148,2,2026-06-24 23:28:41,1.0,0.004502888331012131,-259.0,1
sim_28,0.05959524305555555,1782343822418,10.565683173317543,-68.51555416902944,3.4,us6000t7zp,1,2026-06-24 23:30:22,1.0,4.375879150562097e-05,-259.0,1
sim_150,0.05999997685185185,1782343857387,10.271499392215675,-68.25656388457953,2.0,us6000t7zp,1,2026-06-24 23:30:57,1.0,0.0001665293497745261,-259.0,1
sim_357,0.060337893518518516,1782343886583,10.53706238694227,-68.28670608150212,2.5,sim_142,2,2026-06-24 23:31:26,1.0,0.0001017548875390033,-259.0,1
