id,time_days,timestamp_ms,latitude,longitude,magnitude,parent_id,generation,time_utc
sim_296,0.04275060752484632,1782342367041,10.404600226350233,-68.54260197940155,2.5,us6000t7zc,1,2026-06-24 23:06:07
sim_270,0.0444376607715169,1782342512802,10.421038168283397,-68.5920035114263,2.7,us6000t7zc,1,2026-06-24 23:08:32
sim_46,0.0447994509336243,1782342544061,10.70043523481976,-68.44993844468172,2.5,us6000t7zp,1,2026-06-24 23:09:04
sim_36,0.04585108716392526,1782342634922,10.622534138305042,-68.37353381738833,2.3,us6000t7zp,1,2026-06-24 23:10:34
sim_300,0.04708970729520978,1782342741939,10.448194432864145,-68.465125110179,3.0,us6000t7zc,1,2026-06-24 23:12:21
sim_260,0.04892857983598612,1782342900818,10.438686924007115,-68.50347474480182,2.2,us6000t7zc,1,2026-06-24 23:15:00
sim_139,0.05283414309265334,1782343238258,10.459049999578388,-68.44840648856581,2.4,us6000t7zp,1,2026-06-24 23:20:38
sim_40,0.05377648111450245,1782343319676,10.412730139134224,-68.44141750304945,2.3,us6000t7zp,1,2026-06-24 23:21:59
sim_166,0.054087810648930416,1782343346575,10.408169325178944,-68.50443972782578,2.3,us6000t7zp,1,2026-06-24 23:22:26
sim_152,0.05412185747368918,1782343349517,10.487179801477662,-68.5260979110414,2.3,us6000t7zp,1,2026-06-24 23:22:29
sim_215,0.05451649585990291,1782343383614,10.217197214632034,-68.29817647614571,2.0,us6000t7zp,1,2026-06-24 23:23:03
sim_49,0.054979793712065655,1782343423643,11.368560886694535,-69.66550597394911,2.1,us6000t7zp,1,2026-06-24 23:23:43
sim_127,0.05692409539562365,1782343591630,10.523338654599632,-68.38644865843857,2.8,us6000t7zp,1,2026-06-24 23:26:31
sim_75,0.057150007230415766,1782343611149,10.340188117682832,-68.46683843307646,2.2,us6000t7zp,1,2026-06-24 23:26:51
sim_358,0.05843107419847227,1782343721833,9.780557464278775,-67.20389738056998,2.2,sim_148,2,2026-06-24 23:28:41
sim_28,0.059595251962532354,1782343822418,10.565683173317545,-68.51555416902944,3.4,us6000t7zp,1,2026-06-24 23:30:22
sim_150,0.059999977173778744,1782343857387,10.271499392215677,-68.25656388457953,2.0,us6000t7zp,1,2026-06-24 23:30:57
sim_357,0.06033790245987264,1782343886583,10.53706238694227,-68.28670608150212,2.5,sim_142,2,2026-06-24 23:31:26
sim_163,0.06348759097963355,1782344158716,10.388050808082314,-68.49843411288404,2.7,us6000t7zp,1,2026-06-24 23:35:58
sim_236,0.06597318428720297,1782344373472,10.493359986750145,-68.35351984052107,2.0,us6000t7zc,1,2026-06-24 23:39:33
sim_383,0.06643041871502889,1782344412977,10.428374723850244,-68.46492251366793,2.6,sim_270,2,2026-06-24 23:40:12
sim_220,0.07007762620416953,1782344728095,10.542303587100163,-68.696641510528,2.4,us6000t7zc,1,2026-06-24 23:45:28
sim_70,0.07256842812166064,1782344943301,10.490960220510157,-68.3658654770605,2.7,us6000t7zp,1,2026-06-24 23:49:03
sim_226,0.07324279438552621,1782345001566,10.428021312216597,-68.51411876797489,2.1,us6000t7zc,1,2026-06-24 23:50:01
